Categoria: Todas as categorias

Semana,python: (Brasil),html: (Brasil),java: (Brasil),Microsoft SQL Server: (Brasil),Microsoft Excel: (Brasil)
2019-05-19,26,19,35,8,98
2019-05-26,22,20,37,8,98
2019-06-02,24,18,36,9,98
2019-06-09,24,19,36,9,92
2019-06-16,23,17,32,7,81
2019-06-23,25,17,33,9,92
2019-06-30,25,17,33,8,97
2019-07-07,22,15,30,8,85
2019-07-14,22,16,32,9,89
2019-07-21,21,15,30,8,87
2019-07-28,24,16,31,8,94
2019-08-04,23,17,32,8,87
2019-08-11,27,17,34,9,95
2019-08-18,26,19,37,9,94
2019-08-25,26,20,36,8,100
2019-09-01,27,18,37,9,97
2019-09-08,27,19,34,9,97
2019-09-15,27,21,37,8,94
2019-09-22,26,20,35,8,91
2019-09-29,28,18,36,9,94
2019-10-06,25,19,32,8,90
2019-10-13,25,17,37,8,89
2019-10-20,25,18,35,8,92
2019-10-27,25,16,33,8,85
2019-11-03,25,17,33,8,91
2019-11-10,23,14,31,7,76
2019-11-17,25,16,31,7,80
2019-11-24,24,15,30,9,79
2019-12-01,23,16,30,8,86
2019-12-08,22,16,29,8,79
2019-12-15,21,14,28,7,72
2019-12-22,14,9,18,4,46
2019-12-29,15,9,20,4,54
2020-01-05,21,13,26,6,91
2020-01-12,18,13,26,8,86
2020-01-19,22,13,28,8,90
2020-01-26,21,14,28,7,93
2020-02-02,23,15,29,8,93
2020-02-09,24,16,29,8,90
2020-02-16,24,18,31,8,89
2020-02-23,21,14,26,5,68
2020-03-01,26,16,39,8,89
2020-03-08,25,18,34,8,86
2020-03-15,23,15,31,7,76
2020-03-22,25,16,33,6,77
2020-03-29,23,15,30,6,81
2020-04-05,23,15,26,6,67
2020-04-12,24,15,30,6,75
2020-04-19,24,15,28,4,67
2020-04-26,25,16,30,5,73
2020-05-03,25,16,31,6,80
2020-05-10,27,17,31,6,87
